status	cs_loc	cs_sha256_16	cs_path	rs_path	crate
done	294	da751abc8e5773a4	Core/OpenStack.PolyIO/System.IO/Huffman.cs	core/polyio/src/system_io/huffman.rs	openstack-polyio
done	15	d06f603e07936776	Core/OpenStack.PolyIO/System.IO/IStream.cs	core/polyio/src/system_io/i_stream.rs	openstack-polyio
done	256	91685f1f5cd73ecd	Core/OpenStack.PolyIO/System.IO/IndentedTextWriter.cs	core/polyio/src/system_io/indented_text_writer.rs	openstack-polyio
done	175	0686506f55227849	Core/OpenStack.PolyIO/System.IO/PartialInputStream.cs	core/polyio/src/system_io/partial_input_stream.rs	openstack-polyio
done	828	2c5aa88138cbe33c	Core/OpenStack.PolyIO/System.IO/Polyfill+BinaryReader.cs	core/polyio/src/system_io/polyfill_binary_reader.rs	openstack-polyio
done	114	837d324ef083062d	Core/OpenStack.PolyIO/System.IO/Polyfill+BinaryWriter.cs	core/polyio/src/system_io/polyfill_binary_writer.rs	openstack-polyio
done	26	8ce91c2771e1bc25	Core/OpenStack.PolyIO/System.IO/Polyfill+Stream.cs	core/polyio/src/system_io/polyfill_stream.rs	openstack-polyio
done	33	348ffb11dac35500	Core/OpenStack.PolyIO/System.IO/Polyfill.cs	core/polyio/src/system_io/polyfill.rs	openstack-polyio
done	16	dd39097fb0e524e4	Core/OpenStack.PolyIO/System.Numerics/Cry+Unused/ByteArray.cs	core/polyio/src/system_numerics/cry_unused/byte_array.rs	openstack-polyio
done	384	42cb52df00915e7b	Core/OpenStack.PolyIO/System.Numerics/Cry+Unused/Structs.cs	core/polyio/src/system_numerics/cry_unused/structs.rs	openstack-polyio
done	61	a22e13f5ac73f24a	Core/OpenStack.PolyIO/System.Numerics/Cry+Unused/Vector2.cs	core/polyio/src/system_numerics/cry_unused/vector2.rs	openstack-polyio
done	70	80a701eb61acf0ec	Core/OpenStack.PolyIO/System.Numerics/Cry+Unused/Vector3.cs	core/polyio/src/system_numerics/cry_unused/vector3.rs	openstack-polyio
done	90	40fdade113d0d06c	Core/OpenStack.PolyIO/System.Numerics/Cry+Unused/Vector4.cs	core/polyio/src/system_numerics/cry_unused/vector4.rs	openstack-polyio
done	329	075ce425754a645d	Core/OpenStack.PolyIO/System.Numerics/Matrix2x2.cs	core/polyio/src/system_numerics/matrix2x2.rs	openstack-polyio
done	809	2f4e39f8185fa995	Core/OpenStack.PolyIO/System.Numerics/Matrix3x3.cs	core/polyio/src/system_numerics/matrix3x3.rs	openstack-polyio
done	121	9a319ae3ab778b9f	Core/OpenStack.PolyIO/System.Numerics/Matrix3x3x.cs	core/polyio/src/system_numerics/matrix3x3x.rs	openstack-polyio
done	94	bd42c4edab9657c9	Core/OpenStack.PolyIO/System.Numerics/Matrix3x4.cs	core/polyio/src/system_numerics/matrix3x4.rs	openstack-polyio
done	35	e54a118e0abe1d35	Core/OpenStack.PolyIO/System.Numerics/Matrix4x3.cs	core/polyio/src/system_numerics/matrix4x3.rs	openstack-polyio
done	270	9343925f5ab6a625	Core/OpenStack.PolyIO/System.Numerics/Polyfill.cs	core/polyio/src/system_numerics/polyfill.rs	openstack-polyio
done	350	f8eed1b6a56b87f2	Core/OpenStack.PolyIO/System.Numerics/Vector2.cs	core/polyio/src/system_numerics/vector2.rs	openstack-polyio
done	386	93e2d1fbc55184ee	Core/OpenStack.PolyIO/System.Numerics/Vector3.cs	core/polyio/src/system_numerics/vector3.rs	openstack-polyio
done	467	82eba87a652bef21	Core/OpenStack.PolyIO/System.Numerics/Vector4.cs	core/polyio/src/system_numerics/vector4.rs	openstack-polyio
done	220	d68fbc086802c132	Core/OpenStack.PolyIO/System.Text/ValueStringBuilder.cs	core/polyio/src/system_text/value_string_builder.rs	openstack-polyio
done	308	7a205540ac5008bd	Core/OpenStack.PolyIO/System/HalfFloat.cs	core/polyio/src/system/half_float.rs	openstack-polyio
done	42	d335b20802b0803a	Core/OpenStack.PolyIO/System/NativeFile.cs	core/polyio/src/system/native_file.rs	openstack-polyio
done	321	638ab139e00ac244	Core/OpenStack.PolyIO/System/UnsafeX.cs	core/polyio/src/system/unsafe_x.rs	openstack-polyio
done	69	74ce0c87f971da34	Core/OpenStack.PolyIO/TypeX.cs	core/polyio/src/type_x.rs	openstack-polyio
done	82	34d0cdcf2f669221	Core/OpenStack.PolyIO/X.cs	core/polyio/src/x.rs	openstack-polyio
done	659	0116b31de21c0a94	Gfx/OpenStack.Gfx/Gfx.cs	gfx/gfx/src/gfx.rs	openstack-gfx
done	43	e09458ad7e0d280a	Gfx/OpenStack.Gfx/Gfx_Bitmap.cs	gfx/gfx/src/gfx_bitmap.rs	openstack-gfx
done	393	b6e36e57ac677d7f	Gfx/OpenStack.Gfx/Gfx_Render.cs	gfx/gfx/src/gfx_render.rs	openstack-gfx
done	1930	18e4bbf2bcc46a69	Gfx/OpenStack.Gfx/Gfx_Texture.cs	gfx/gfx/src/gfx_texture.rs	openstack-gfx
done	141	b43a13d1ff0de054	Gfx/OpenStack.Gfx/TextureHelper.cs	gfx/gfx/src/texture_helper.rs	openstack-gfx
done	111	d9c548630b73acb1	Gfx/OpenStack.Gfx/TextureSequences.cs	gfx/gfx/src/texture_sequences.rs	openstack-gfx
done	5	bcff1210abe646a8	Gfx/OpenStack.Gfx.Egin/Egin.cs	gfx/gfx-egin/src/egin.rs	openstack-gfx-egin
done	252	52745a15b256722b	Gfx/OpenStack.Gfx.Egin/Egin_Animate.cs	gfx/gfx-egin/src/egin_animate.rs	openstack-gfx-egin
done	897	50cef39679b48ca4	Gfx/OpenStack.Gfx.Egin/Egin_Particle.cs	gfx/gfx-egin/src/egin_particle.rs	openstack-gfx-egin
done	798	8ed891fd57d72b60	Gfx/OpenStack.Gfx.Egin/Egin_Render.cs	gfx/gfx-egin/src/egin_render.rs	openstack-gfx-egin
